metric,value,unit
gpu__compute_memory_request_throughput_internal_activity.max.pct_of_peak_sustained_elapsed,0.086179,%
gpu__compute_memory_request_throughput_internal_activity.min.pct_of_peak_sustained_elapsed,0.070350,%
gpu__compute_memory_request_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,0.077880,%
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,52.181624,%
gpu__compute_memory_throughput.max.pct_of_peak_sustained_elapsed,61.807127,%
gpu__compute_memory_throughput.min.pct_of_peak_sustained_elapsed,17.875894,%
gpu__compute_memory_throughput.sum.pct_of_peak_sustained_elapsed,52.181624,%
gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,9.850046,%
gpu__dram_throughput.max.pct_of_peak_sustained_elapsed,10.204590,%
gpu__dram_throughput.min.pct_of_peak_sustained_elapsed,7.985145,%
gpu__dram_throughput.sum.pct_of_peak_sustained_elapsed,9.850046,%
gpu__time_duration.avg,152.608000,us
gpu__time_duration.max,152.608000,us
gpu__time_duration.min,152.608000,us
gpu__time_duration.sum,152.608000,us
gr__workids_granted.avg,0,
gr__workids_granted.max,0,
gr__workids_granted.min,0,
gr__workids_granted.sum,0,
gr__workids_granted_as_ctas.avg,0,block
gr__workids_granted_as_ctas.max,0,block
gr__workids_granted_as_ctas.min,0,block
gr__workids_granted_as_ctas.sum,0,block
gr__workids_requested.avg,0,
gr__workids_requested.max,0,
gr__workids_requested.min,0,
gr__workids_requested.sum,0,
idc__request_cycles_active.avg.pct_of_peak_sustained_elapsed,0.044303,%
idc__request_cycles_active.max.pct_of_peak_sustained_elapsed,0.052539,%
idc__request_cycles_active.min.pct_of_peak_sustained_elapsed,0,%
idc__request_cycles_active.sum.pct_of_peak_sustained_elapsed,0.044303,%
inst_executed,6044187,inst
l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed,28.500383,%
l1tex__data_bank_reads.max.pct_of_peak_sustained_elapsed,32.953578,%
l1tex__data_bank_reads.min.pct_of_peak_sustained_elapsed,0,%
l1tex__data_bank_reads.sum.pct_of_peak_sustained_elapsed,28.500383,%
l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed,23.847068,%
l1tex__data_bank_writes.max.pct_of_peak_sustained_elapsed,27.573173,%
l1tex__data_bank_writes.min.pct_of_peak_sustained_elapsed,0,%
l1tex__data_bank_writes.sum.pct_of_peak_sustained_elapsed,23.847068,%
l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed,1.740295,%
l1tex__data_pipe_lsu_wavefronts.max.pct_of_peak_sustained_elapsed,2.261813,%
l1tex__data_pipe_lsu_wavefronts.min.pct_of_peak_sustained_elapsed,0,%
l1tex__data_pipe_lsu_wavefronts.sum.pct_of_peak_sustained_elapsed,1.740295,%
l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed,0,%
l1tex__data_pipe_tex_wavefronts.max.pct_of_peak_sustained_elapsed,0,%
l1tex__data_pipe_tex_wavefronts.min.pct_of_peak_sustained_elapsed,0,%
l1tex__data_pipe_tex_wavefronts.sum.pct_of_peak_sustained_elapsed,0,%
l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed,0,%
l1tex__f_wavefronts.max.pct_of_peak_sustained_elapsed,0,%
l1tex__f_wavefronts.min.pct_of_peak_sustained_elapsed,0,%
l1tex__f_wavefronts.sum.pct_of_peak_sustained_elapsed,0,%
l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed,0.048563,%
l1tex__lsu_writeback_active.max.pct_of_peak_sustained_elapsed,0.056480,%
l1tex__lsu_writeback_active.min.pct_of_peak_sustained_elapsed,0,%
l1tex__lsu_writeback_active.sum.pct_of_peak_sustained_elapsed,0.048563,%
l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed,0.543000,%
l1tex__lsuin_requests.max.pct_of_peak_sustained_elapsed,0.627844,%
l1tex__lsuin_requests.min.pct_of_peak_sustained_elapsed,0,%
l1tex__lsuin_requests.sum.pct_of_peak_sustained_elapsed,0.543000,%
l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed,52.181624,%
l1tex__m_l1tex2xbar_req_cycles_active.max.pct_of_peak_sustained_elapsed,61.807127,%
l1tex__m_l1tex2xbar_req_cycles_active.min.pct_of_peak_sustained_elapsed,0.001313,%
l1tex__m_l1tex2xbar_req_cycles_active.sum.pct_of_peak_sustained_elapsed,52.181624,%
l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed,46.529932,%
l1tex__m_xbar2l1tex_read_sectors.max.pct_of_peak_sustained_elapsed,53.800316,%
l1tex__m_xbar2l1tex_read_sectors.min.pct_of_peak_sustained_elapsed,0,%
l1tex__m_xbar2l1tex_read_sectors.sum.pct_of_peak_sustained_elapsed,46.529932,%
l1tex__m_xbar2l1tex_read_sectors_mem_dshared.avg.pct_of_peak_sustained_elapsed,0.000284,%
l1tex__m_xbar2l1tex_read_sectors_mem_dshared.max.pct_of_peak_sustained_elapsed,0.000657,%
l1tex__m_xbar2l1tex_read_sectors_mem_dshared.min.pct_of_peak_sustained_elapsed,0,%
l1tex__m_xbar2l1tex_read_sectors_mem_dshared.sum.pct_of_peak_sustained_elapsed,0.000284,%
l1tex__t_sector_hit_rate.pct,0,%
l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed,0,%
l1tex__tex_writeback_active.max.pct_of_peak_sustained_elapsed,0,%
l1tex__tex_writeback_active.min.pct_of_peak_sustained_elapsed,0,%
l1tex__tex_writeback_active.sum.pct_of_peak_sustained_elapsed,0,%
