step,M,N,K,median_ms,min_ms,max_ms,tflops,cublas_ms,speedup_vs_cublas,reference_ms,limit_ms,status,seed,warmup,repeat,trials,gpu,sm_count,tvm,torch,cuda
4,512,512,512,0.014589866995811463,0.014589866995811463,0.014589866995811463,18.39875963756653,0.0057536001006762184,0.39435589798919984,0.015,0.0195,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,1024,1024,1024,0.02277440031369527,0.02277440031369527,0.02277440031369527,94.29375168700366,0.0068458666404088335,0.3005948146214022,0.017,0.0221,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,2048,2048,2048,0.07650453249613444,0.07650453249613444,0.07650453249613444,224.56014857509325,0.021663999557495116,0.2831727591903099,0.052,0.0676,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,512,512,512,0.010602666934331258,0.010602666934331258,0.010602666934331258,25.317729743147023,0.006141866743564606,0.5792756465524107,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,1024,1024,1024,0.01573013365268707,0.01573013365268707,0.01573013365268707,136.5203688293621,0.006930133203665415,0.4405641653579712,0.012,0.015600000000000001,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,2048,2048,2048,0.04562346537907918,0.04562346537907918,0.04562346537907918,376.55774372364743,0.021693867444992066,0.475498019818106,0.033,0.0429,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,4096,4096,4096,0.36263786951700844,0.36263786951700844,0.36263786951700844,378.9977964933799,0.12909440199534097,0.35598709579691645,0.272,0.3536,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,1024,1024,1024,0.016563199957211814,0.016563199957211814,0.016563199957211814,129.6539106904255,0.006809600194295247,0.4111282971821074,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,2048,2048,2048,0.047370668252309164,0.047370668252309164,0.047370668252309164,362.66892188421974,0.02138026754061381,0.45133979167734434,0.035,0.045500000000000006,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,4096,4096,4096,0.3192789395650228,0.3192789395650228,0.3192789395650228,430.4667061950381,0.12837653160095214,0.40208267972779205,0.239,0.3107,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,8192,8192,8192,2.805674743652344,2.805674743652344,2.805674743652344,391.8884860989583,0.8523509343465169,0.3037953477233615,2.143,2.7859,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,1024,1024,1024,0.016596266627311708,0.016596266627311708,0.016596266627311708,129.39558614140276,0.007119999825954437,0.42901213784052994,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,2048,2048,2048,0.04531626701354981,0.04531626701354981,0.04531626701354981,379.11042361152835,0.021255467335383096,0.4690471818657878,0.031,0.0403,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,4096,4096,4096,0.3142848014831543,0.3142848014831543,0.3142848014831543,437.3070311494739,0.12806826432545979,0.40749111545034183,0.23,0.29900000000000004,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
