step,size,trial,role,start_ns,end_ns,wait_ns,work_ns,handoff_ns,epilogue_ns,start_cycles,end_cycles,sm_id,tile_m,tile_n,cta,cluster,cta_rank,tile_ordinal,consumer,elapsed_ns,unmeasured_ns
8,2048,1,tma,1789333573911249600,1789333573911260160,8384,1216,0,0,168621434409161,168621434419269,80,2,3,26,26,0,0,0,10560,960
8,2048,1,tma,1789333573911260320,1789333573911271552,8928,1184,0,0,168621434419401,168621434430412,80,14,5,26,26,0,1,0,11232,1120
8,2048,1,tma,1789333573911249600,1789333573911260128,8224,1248,0,0,168621434409164,168621434419227,81,3,3,27,27,0,0,0,10528,1056
8,2048,1,tma,1789333573911260256,1789333573911271552,8928,1248,0,0,168621434419362,168621434430402,81,15,5,27,27,0,1,0,11296,1120
8,2048,1,tma,1789333573911249632,1789333573911260256,8288,1088,0,0,168621434409182,168621434419337,94,4,3,28,28,0,0,0,10624,1248
8,2048,1,tma,1789333573911260384,1789333573911271712,9216,1152,0,0,168621434419471,168621434430564,94,8,6,28,28,0,1,0,11328,960
8,2048,1,tma,1789333573911249632,1789333573911260288,8256,1184,0,0,168621434409173,168621434419359,95,5,3,29,29,0,0,0,10656,1216
8,2048,1,tma,1789333573911260416,1789333573911271712,9184,1184,0,0,168621434419491,168621434430543,95,9,6,29,29,0,1,0,11296,928
8,2048,1,tma,1789333573911249632,1789333573911260224,8288,1120,0,0,168621434409180,168621434419319,108,6,3,30,30,0,0,0,10592,1184
8,2048,1,tma,1789333573911260352,1789333573911271680,9248,992,0,0,168621434419451,168621434430527,108,10,6,30,30,0,1,0,11328,1088
8,2048,1,tma,1789333573911249632,1789333573911260160,8224,1152,0,0,168621434409186,168621434419263,109,7,3,31,31,0,0,0,10528,1152
8,2048,1,tma,1789333573911260288,1789333573911271584,8960,1216,0,0,168621434419395,168621434430436,109,11,6,31,31,0,1,0,11296,1120
8,2048,1,tma,1789333573911249600,1789333573911260032,8288,1184,0,0,168621434409156,168621434419146,122,0,4,32,32,0,0,0,10432,960
8,2048,1,tma,1789333573911260192,1789333573911271360,8992,1152,0,0,168621434419282,168621434430224,122,12,6,32,32,0,1,0,11168,1024
8,2048,1,tma,1789333573911249600,1789333573911260032,8192,1248,0,0,168621434409157,168621434419141,123,1,4,33,33,0,0,0,10432,992
