step,size,trial,role,start_ns,end_ns,wait_ns,work_ns,handoff_ns,epilogue_ns,start_cycles,end_cycles,sm_id,tile_m,tile_n,cta,cluster,cta_rank,tile_ordinal,consumer,elapsed_ns,unmeasured_ns
10,4096,1,tma,1789358306023332448,1789358306023364544,26080,3072,0,0,101808427088741,101808427121267,21,5,1,27,13,1,0,0,32096,2944
10,4096,1,tma,1789358306023364672,1789358306023396320,25888,2944,0,0,101808427121395,101808427154684,21,5,9,27,13,1,1,0,31648,2816
10,4096,1,tma,1789358306023396448,1789358306023428448,26432,2880,0,0,101808427154812,101808427189182,21,5,17,27,13,1,2,0,32000,2688
10,4096,1,tma,1789358306023428544,1789358306023459360,25248,2816,0,0,101808427189310,101808427223022,21,5,25,27,13,1,3,0,30816,2752
10,4096,1,tma,1789358306023332256,1789358306023365216,26592,3424,0,0,101563915885419,101563915918058,22,6,1,28,14,0,0,0,32960,2944
10,4096,1,tma,1789358306023365344,1789358306023397312,25952,3264,0,0,101563915918187,101563915951474,22,6,9,28,14,0,1,0,31968,2752
10,4096,1,tma,1789358306023397440,1789358306023428928,25408,3168,0,0,101563915951602,101563915984981,22,6,17,28,14,0,2,0,31488,2912
10,4096,1,tma,1789358306023429056,1789358306023459552,24832,3040,0,0,101563915985112,101563916018485,22,6,25,28,14,0,3,0,30496,2624
10,4096,1,tma,1789358306023332256,1789358306023365216,26752,3072,0,0,101563915885425,101563915918064,23,6,1,29,14,1,0,0,32960,3136
10,4096,1,tma,1789358306023365344,1789358306023397312,26176,3104,0,0,101563915918192,101563915951482,23,6,9,29,14,1,1,0,31968,2688
10,4096,1,tma,1789358306023397440,1789358306023428960,25632,2976,0,0,101563915951610,101563915984989,23,6,17,29,14,1,2,0,31520,2912
10,4096,1,tma,1789358306023429056,1789358306023459552,24928,2688,0,0,101563915985117,101563916018492,23,6,25,29,14,1,3,0,30496,2880
10,4096,1,tma,1789358306023332448,1789358306023364896,26016,3200,0,0,101590648516698,101590648549069,24,7,1,30,15,0,0,0,32448,3232
10,4096,1,tma,1789358306023365024,1789358306023397152,25792,3232,0,0,101590648549197,101590648582470,24,7,9,30,15,0,1,0,32128,3104
10,4096,1,tma,1789358306023397280,1789358306023428576,25568,3136,0,0,101590648582600,101590648615995,24,7,17,30,15,0,2,0,31296,2592
10,4096,1,tma,1789358306023428704,1789358306023459232,24896,3072,0,0,101590648616123,101590648649482,24,7,25,30,15,0,3,0,30528,2560
10,4096,1,tma,1789358306023332448,1789358306023364896,26208,3040,0,0,101590648516701,101590648549077,25,7,1,31,15,1,0,0,32448,3200
10,4096,1,tma,1789358306023365024,1789358306023397152,26144,2784,0,0,101590648549205,101590648582477,25,7,9,31,15,1,1,0,32128,3200
10,4096,1,tma,1789358306023397280,1789358306023428608,25600,2784,0,0,101590648582605,101590648616002,25,7,17,31,15,1,2,0,31328,2944
10,4096,1,tma,1789358306023428704,1789358306023459232,24896,2816,0,0,101590648616130,101590648649489,25,7,25,31,15,1,3,0,30528,2816
10,4096,1,tma,1789358306023332256,1789358306023364992,26464,3296,0,0,101777864375880,101777864408528,26,0,2,32,16,0,0,0,32736,2976
10,4096,1,tma,1789358306023365120,1789358306023396544,25472,3136,0,0,101777864408656,101777864441880,26,0,10,32,16,0,1,0,31424,2816
10,4096,1,tma,1789358306023396672,1789358306023427680,25248,3072,0,0,101777864442011,101777864475367,26,0,18,32,16,0,2,0,31008,2688
10,4096,1,tma,1789358306023427808,1789358306023458624,25120,2848,0,0,101777864475495,101777864509238,26,0,26,32,16,0,3,0,30816,2848
10,4096,1,tma,1789358306023332256,1789358306023364992,26560,3168,0,0,101777864375883,101777864408535,27,0,2,33,16,1,0,0,32736,3008
10,4096,1,tma,1789358306023365120,1789358306023396544,25568,2752,0,0,101777864408663,101777864441887,27,0,10,33,16,1,1,0,31424,3104
10,4096,1,tma,1789358306023396672,1789358306023427680,25408,2880,0,0,101777864442015,101777864475375,27,0,18,33,16,1,2,0,31008,2720
10,4096,1,tma,1789358306023427808,1789358306023458560,25216,2784,0,0,101777864475503,101777864509199,27,0,26,33,16,1,3,0,30752,2752
10,4096,1,tma,1789358306023332256,1789358306023364384,25824,3232,0,0,101843251607262,101843251639962,28,1,2,34,17,0,0,0,32128,3072
10,4096,1,tma,1789358306023364512,1789358306023395552,25152,3232,0,0,101843251640091,101843251673512,28,1,10,34,17,0,1,0,31040,2656
10,4096,1,tma,1789358306023395680,1789358306023427040,25600,3008,0,0,101843251673641,101843251707733,28,1,18,34,17,0,2,0,31360,2752
10,4096,1,tma,1789358306023427168,1789358306023458144,25152,2976,0,0,101843251707867,101843251741842,28,1,26,34,17,0,3,0,30976,2848
10,4096,1,tma,1789358306023332256,1789358306023364384,26208,2848,0,0,101843251607265,101843251639957,29,1,2,35,17,1,0,0,32128,3072
10,4096,1,tma,1789358306023364512,1789358306023395552,25568,3072,0,0,101843251640085,101843251673519,29,1,10,35,17,1,1,0,31040,2400
10,4096,1,tma,1789358306023395680,1789358306023427008,25632,2784,0,0,101843251673647,101843251707679,29,1,18,35,17,1,2,0,31328,2912
10,4096,1,tma,1789358306023427104,1789358306023458208,25376,2816,0,0,101843251707807,101843251741894,29,1,26,35,17,1,3,0,31104,2912
10,4096,1,tma,1789358306023332256,1789358306023364992,26400,3328,0,0,101839372799237,101839372831923,30,2,2,36,18,0,0,0,32736,3008
10,4096,1,tma,1789358306023365120,1789358306023396640,25504,3232,0,0,101839372832051,101839372865508,30,2,10,36,18,0,1,0,31520,2784
10,4096,1,tma,1789358306023396768,1789358306023428096,25568,3008,0,0,101839372865636,101839372899386,30,2,18,36,18,0,2,0,31328,2752
10,4096,1,tma,1789358306023428224,1789358306023458784,24704,3008,0,0,101839372899514,101839372933036,30,2,26,36,18,0,3,0,30560,2848
10,4096,1,tma,1789358306023332256,1789358306023364992,26784,2784,0,0,101839372799235,101839372831929,31,2,2,37,18,1,0,0,32736,3168
10,4096,1,tma,1789358306023365120,1789358306023396608,25696,2944,0,0,101839372832057,101839372865501,31,2,10,37,18,1,1,0,31488,2848
10,4096,1,tma,1789358306023396768,1789358306023428128,25568,3072,0,0,101839372865629,101839372899411,31,2,18,37,18,1,2,0,31360,2720
10,4096,1,tma,1789358306023428256,1789358306023458816,24896,2912,0,0,101839372899539,101839372933043,31,2,26,37,18,1,3,0,30560,2752
10,4096,1,tma,1789358306023332448,1789358306023363936,25376,3200,0,0,101808166245076,101808166277382,32,3,2,38,19,0,0,0,31488,2912
10,4096,1,tma,1789358306023364064,1789358306023395744,25952,3136,0,0,101808166277511,101808166311270,32,3,10,38,19,0,1,0,31680,2592
10,4096,1,tma,1789358306023395872,1789358306023426784,25184,3072,0,0,101808166311399,101808166344966,32,3,18,38,19,0,2,0,30912,2656
10,4096,1,tma,1789358306023426912,1789358306023457760,24960,2880,0,0,101808166345095,101808166378871,32,3,26,38,19,0,3,0,30848,3008
10,4096,1,tma,1789358306023332448,1789358306023363968,25568,3136,0,0,101808166245073,101808166277385,33,3,2,39,19,1,0,0,31520,2816
10,4096,1,tma,1789358306023364064,1789358306023395744,26080,2976,0,0,101808166277513,101808166311284,33,3,10,39,19,1,1,0,31680,2624
10,4096,1,tma,1789358306023395872,1789358306023426784,25280,2976,0,0,101808166311412,101808166344970,33,3,18,39,19,1,2,0,30912,2656
10,4096,1,tma,1789358306023426912,1789358306023457760,25312,2720,0,0,101808166345098,101808166378868,33,3,26,39,19,1,3,0,30848,2816
10,4096,1,tma,1789358306023332448,1789358306023364512,26048,3072,0,0,101809258202767,101809258235197,34,4,2,40,20,0,0,0,32064,2944
10,4096,1,tma,1789358306023364608,1789358306023396320,25664,2976,0,0,101809258235325,101809258268584,34,4,10,40,20,0,1,0,31712,3072
10,4096,1,tma,1789358306023396448,1789358306023428736,26432,2944,0,0,101809258268712,101809258303420,34,4,18,40,20,0,2,0,32288,2912
